"","fc.dates","fc.name","fc.var","fc.value"
"max.1",2019-02-11,"mean_prev_seven","MAX",7.84285714285714
"max.2",2019-02-12,"mean_prev_seven","MAX",7.84285714285714
"max.3",2019-02-13,"mean_prev_seven","MAX",7.84285714285714
"max.4",2019-02-14,"mean_prev_seven","MAX",7.84285714285714
"max.5",2019-02-15,"mean_prev_seven","MAX",7.84285714285714
"max.6",2019-02-16,"mean_prev_seven","MAX",7.84285714285714
"max.7",2019-02-17,"mean_prev_seven","MAX",7.84285714285714
"min.1",2019-02-11,"mean_prev_seven","MIN",-2.47142857142857
"min.2",2019-02-12,"mean_prev_seven","MIN",-2.47142857142857
"min.3",2019-02-13,"mean_prev_seven","MIN",-2.47142857142857
"min.4",2019-02-14,"mean_prev_seven","MIN",-2.47142857142857
"min.5",2019-02-15,"mean_prev_seven","MIN",-2.47142857142857
"min.6",2019-02-16,"mean_prev_seven","MIN",-2.47142857142857
"min.7",2019-02-17,"mean_prev_seven","MIN",-2.47142857142857
"prcp.1",2019-02-11,"mean_prev_seven","P_PRCP",0.571428571428571
"prcp.2",2019-02-12,"mean_prev_seven","P_PRCP",0.571428571428571
"prcp.3",2019-02-13,"mean_prev_seven","P_PRCP",0.571428571428571
"prcp.4",2019-02-14,"mean_prev_seven","P_PRCP",0.571428571428571
"prcp.5",2019-02-15,"mean_prev_seven","P_PRCP",0.571428571428571
"prcp.6",2019-02-16,"mean_prev_seven","P_PRCP",0.571428571428571
"prcp.7",2019-02-17,"mean_prev_seven","P_PRCP",0.571428571428571
